广东频道,#genre#
浙江卫视4K,http://192.168.10.1:8888/udp/239.11.0.202:1025
东方卫视4K,http://192.168.10.1:8888/udp/239.11.0.203:1025
四川卫视4K,http://192.168.10.1:8888/udp/239.11.0.204:1025
山东卫视4K,http://192.168.10.1:8888/udp/239.11.0.205:1025
广东卫视超清,http://192.168.10.1:8888/udp/239.10.0.45:1025
深圳卫视超清,http://192.168.10.1:8888/udp/239.10.0.52:1025
山东卫视超清,http://192.168.10.1:8888/udp/239.10.0.56:1025
湖南卫视高清,http://192.168.10.1:8888/udp/239.10.0.115:1025
金鹰卡通高清,http://192.168.10.1:8888/udp/239.11.0.125:1025
金鹰纪实高清,http://192.168.10.1:8888/udp/239.10.0.206:1025
北京卫视高清,http://192.168.10.1:8888/udp/239.10.0.131:1025
深圳卫视高清,http://192.168.10.1:8888/udp/239.10.0.132:1025
东方卫视高清,http://192.168.10.1:8888/udp/239.10.0.183:1025
浙江卫视高清,http://192.168.10.1:8888/udp/239.10.0.179:1025
江苏卫视高清,http://192.168.10.1:8888/udp/239.10.0.180:1025
东南卫视高清,http://192.168.10.1:8888/udp/239.10.0.77:1025
河北卫视高清,http://192.168.10.1:8888/udp/239.10.0.79:1025
河南卫视高清,http://192.168.10.1:8888/udp/239.11.0.94:1025
陕西卫视高清,http://192.168.10.1:8888/udp/239.11.0.206:1025
山西卫视标清,http://192.168.10.1:8888/udp/239.10.0.162:1025
江西卫视高清,http://192.168.10.1:8888/udp/239.10.0.80:1025
湖北卫视高清,http://192.168.10.1:8888/udp/239.10.0.134:1025
天津卫视高清,http://192.168.10.1:8888/udp/239.10.0.181:1025
山东卫视高清,http://192.168.10.1:8888/udp/239.10.0.182:1025
安徽卫视高清,http://192.168.10.1:8888/udp/239.10.0.203:1025
四川卫视高清,http://192.168.10.1:8888/udp/239.10.0.204:1025
重庆卫视高清,http://192.168.10.1:8888/udp/239.10.0.205:1025
贵州卫视高清,http://192.168.10.1:8888/udp/239.10.0.222:1025
广西卫视高清,http://192.168.10.1:8888/udp/239.10.0.246:1025
云南卫视高清,http://192.168.10.1:8888/udp/239.11.0.171:1025
吉林卫视高清,http://192.168.10.1:8888/udp/239.10.0.81:1025
辽宁卫视高清,http://192.168.10.1:8888/udp/239.10.0.185:1025
黑龙江卫视高,http://192.168.10.1:8888/udp/239.10.0.133:1025
甘肃卫视高清,http://192.168.10.1:8888/udp/239.11.0.175:1025
青海卫视高清,http://192.168.10.1:8888/udp/239.11.0.179:1025
宁夏卫视高清,http://192.168.10.1:8888/udp/239.11.0.199:1025
内蒙古卫视高,http://192.168.10.1:8888/udp/239.11.0.207:1025
西藏卫视高清,http://192.168.10.1:8888/udp/239.11.0.196:1025
新疆卫视高清,http://192.168.10.1:8888/udp/239.11.0.197:1025
兵团卫视高清,http://192.168.10.1:8888/udp/239.11.0.198:1025
海南卫视高清,http://192.168.10.1:8888/udp/239.11.0.172:1025
三沙卫视高清,http://192.168.10.1:8888/udp/239.11.0.177:1025

IPTV,#genre#

华数爱谍战,http://192.168.10.1:8888/udp/239.10.0.8:1025
华数爱小品,http://192.168.10.1:8888/udp/239.10.0.9:1025
华数爱野外,http://192.168.10.1:8888/udp/239.10.0.10:1025
华数爱法治,http://192.168.10.1:8888/udp/239.10.0.11:1025
华数爱电影,http://192.168.10.1:8888/udp/239.10.0.12:1025
华数爱经典,http://192.168.10.1:8888/udp/239.10.0.13:1025
华数爱大剧,http://192.168.10.1:8888/udp/239.10.0.14:1025
华数爱剧场,http://192.168.10.1:8888/udp/239.10.0.15:1025
华数爱综艺,http://192.168.10.1:8888/udp/239.10.0.16:1025
华数爱体育,http://192.168.10.1:8888/udp/239.10.0.17:1025
华数爱动画,http://192.168.10.1:8888/udp/239.10.0.18:1025
华数爱魅力,http://192.168.10.1:8888/udp/239.10.0.19:1025
华数爱收视,http://192.168.10.1:8888/udp/239.10.0.20:1025

Juli,#genre#
翡翠台,https://cdn.qd.je/163189/fct2
翡翠台(VTT),https://cdn.qd.je/163189/fctvtt
翡翠台4K,https://cdn.qd.je/163189/fct4k
翡翠台(广电),https://cdn.qd.je/163189/fct
明珠台,https://cdn.qd.je/163189/mzt
明珠台(VTT),https://cdn.qd.je/163189/mztvtt
TVB Plus,https://cdn.qd.je/163189/tvbp2
TVB Plus,https://cdn.qd.je/163189/tvbp
TVB Plus(VTT),https://cdn.qd.je/163189/tvbpvtt
无线新闻台,https://cdn.qd.je/163189/wxxw
无线新闻台,https://cdn.qd.je/163189/wxxwt
娱乐新闻台,https://cdn.qd.je/163189/ylxw
千禧经典台,https://cdn.qd.je/163189/tvbc
TVB1,https://cdn.qd.je/163189/tvb1
TVBj1,https://cdn.qd.je/163189/j1
翡翠剧集台,https://cdn.qd.je/163189/tvbd
华丽翡翠台,https://cdn.qd.je/163189/jade
HOY TV,https://cdn.qd.je/163189/hoy
HOY TV,https://cdn.qd.je/163189/hoy2
HOY资讯台,https://cdn.qd.je/163189/hoy78
HOY国际财经台,https://cdn.qd.je/163189/hoy76
ViuTV,https://cdn.qd.je/163189/viu
ViuTV6,https://cdn.qd.je/163189/viu6
NOW新闻台,https://cdn.qd.je/163189/now
凤凰中文,https://cdn.qd.je/163189/fhzw
凤凰资讯,https://cdn.qd.je/163189/fhzx
凤凰香港,https://cdn.qd.je/163189/fhhk
